,Clearsky DHI,Clearsky DNI,Clearsky GHI,Solar Zenith Angle,Precipitable Water
34533,0,0,0,115.02,1.525
34534,0,0,0,108.86,1.54
34535,0,0,0,102.81,1.565
34536,0,0,0,96.88,1.591
34537,0,0,0,91.12,1.629
34538,26,329,51,85.56,1.6669999999999998
34539,45,536,135,80.24,1.714
34540,60,637,223,75.22,1.763
34541,70,717,309,70.57,1.824
34542,81,759,385,66.36,1.886
34543,86,798,452,62.68,1.947
34544,95,809,505,59.64,2.009
34545,98,827,545,57.33,2.061
34546,105,823,567,55.86,2.113
34547,106,826,577,55.29,2.153
34548,110,811,568,55.64,2.193
34549,108,800,546,56.9,2.217
34550,107,777,507,59.01,2.241
34551,102,749,455,61.88,2.255
34552,97,706,391,65.42,2.269
34553,88,649,315,69.51,2.27
34554,76,572,233,74.07,2.271
34555,60,453,146,79.01,2.256
34556,36,279,64,84.26,2.242
34557,0,0,0,89.76,2.217
34558,0,0,0,95.48,2.193
34559,0,0,0,101.37,2.166
34560,0,0,0,107.39,2.14
34561,0,0,0,113.53,2.126
34562,0,0,0,119.75,2.112
34563,0,0,0,126.04,2.113
34564,0,0,0,132.38,2.115
34565,0,0,0,138.74,2.126
34566,0,0,0,145.1,2.137
34567,0,0,0,151.43,2.146
34568,0,0,0,157.64,2.156
34569,0,0,0,163.57,2.158
34570,0,0,0,168.74,2.161
34571,0,0,0,171.54,2.161
34572,0,0,0,169.79,2.161
34573,0,0,0,165.01,2.166
34574,0,0,0,159.2,2.171
34575,0,0,0,153.04,2.189
34576,0,0,0,146.74,2.207
34577,0,0,0,140.38,2.23
34578,0,0,0,134.01,2.253
34579,0,0,0,127.66,2.272
34580,0,0,0,121.36,2.292
34581,0,0,0,115.12,2.3080000000000003
34582,0,0,0,108.96,2.325
34583,0,0,0,102.91,2.338
34584,0,0,0,96.98,2.352
34585,0,0,0,91.22,2.363
34586,31,152,42,85.65,2.374
34587,61,343,119,80.33,2.366
34588,85,462,203,75.3,2.359
34589,102,555,286,70.64,2.324
34590,109,639,365,66.42,2.29
34591,118,686,432,62.73,2.237
34592,114,749,492,59.68,2.184
34593,118,770,534,57.36,2.16
34594,110,811,565,55.88,2.137
34595,110,815,575,55.29,2.145
34596,111,810,568,55.63,2.153
34597,109,800,547,56.87,2.168
34598,111,767,507,58.97,2.1830000000000003
34599,106,739,456,61.83,2.192
34600,98,706,392,65.35,2.202
34601,89,650,317,69.44,2.192
34602,75,582,236,73.99,2.182
34603,59,466,149,78.92,2.137
34604,37,291,66,84.17,2.092
34605,0,0,0,89.67,2.005
34606,0,0,0,95.38,1.921
34607,0,0,0,101.27,1.819
34608,0,0,0,107.29,1.7180000000000002
34609,0,0,0,113.42,1.622
34610,0,0,0,119.64,1.527
34611,0,0,0,125.93,1.4469999999999998
34612,0,0,0,132.27,1.368
34613,0,0,0,138.63,1.301
34614,0,0,0,145.0,1.235
34615,0,0,0,151.32,1.177
34616,0,0,0,157.53,1.12
34617,0,0,0,163.48,1.077
34618,0,0,0,168.66,1.034
34619,0,0,0,171.52,1.008
34620,0,0,0,169.85,0.982
34621,0,0,0,165.1,0.965
34622,0,0,0,159.3,0.949
34623,0,0,0,153.14,0.933
34624,0,0,0,146.84,0.918
34625,0,0,0,140.48,0.901
34626,0,0,0,134.11,0.884
34627,0,0,0,127.77,0.87
34628,0,0,0,121.46,0.857
34629,0,0,0,115.22,0.847
34630,0,0,0,109.06,0.8370000000000001
34631,0,0,0,103.0,0.8240000000000001
34632,0,0,0,97.07,0.8109999999999999
34633,0,0,0,91.31,0.792
34634,26,354,52,85.74,0.774
34635,45,571,140,80.41,0.752
34636,58,695,234,75.38,0.731
34637,67,778,324,70.71,0.7170000000000001
34638,73,837,407,66.48,0.7040000000000001
34639,78,875,478,62.78,0.7040000000000001
34640,80,905,537,59.72,0.7040000000000001
34641,82,922,580,57.39,0.7090000000000001
34642,82,936,608,55.89,0.715
34643,83,940,618,55.28,0.716
34644,79,946,614,55.6,0.718
34645,78,937,591,56.83,0.723
34646,75,924,553,58.92,0.7290000000000001
34647,72,901,499,61.77,0.742
34648,68,868,431,65.28,0.7559999999999999
34649,63,820,352,69.36,0.768
34650,55,750,263,73.9,0.78
34651,45,643,170,78.83,0.787
34652,30,464,78,84.07,0.794
34653,0,0,0,89.57,0.797
34654,0,0,0,95.28,0.8009999999999999
34655,0,0,0,101.16,0.797
34656,0,0,0,107.18,0.7929999999999999
34657,0,0,0,113.31,0.785
34658,0,0,0,119.53,0.777
34659,0,0,0,125.82,0.767
34660,0,0,0,132.16,0.758
34661,0,0,0,138.52,0.754
34662,0,0,0,144.89,0.7509999999999999
34663,0,0,0,151.21,0.757
34664,0,0,0,157.43,0.764
34665,0,0,0,163.37,0.779
34666,0,0,0,168.58,0.795
34667,0,0,0,171.5,0.8140000000000001
34668,0,0,0,169.9,0.833
34669,0,0,0,165.18,0.8540000000000001
34670,0,0,0,159.39,0.8759999999999999
34671,0,0,0,153.24,0.898
34672,0,0,0,146.94,0.921
34673,0,0,0,140.58,0.941
34674,0,0,0,134.21,0.961
34675,0,0,0,127.87,0.979
34676,0,0,0,121.56,0.998
34677,0,0,0,115.31,1.014
34678,0,0,0,109.15,1.031
34679,0,0,0,103.09,1.037
34680,0,0,0,97.16,1.045
34681,0,0,0,91.39,1.041
34682,25,320,49,85.82,1.038
34683,45,536,134,80.48,1.028
34684,59,663,226,75.45,1.018
34685,68,747,314,70.77,1.02
34686,75,806,396,66.53,1.022
34687,80,845,466,62.82,1.033
34688,84,872,523,59.75,1.044
34689,86,890,566,57.4,1.054
34690,87,902,593,55.89,1.065
34691,88,906,604,55.27,1.074
34692,86,906,599,55.57,1.084
34693,85,897,577,56.79,1.091
34694,82,884,539,58.86,1.098
34695,79,860,487,61.7,1.108
34696,73,828,421,65.2,1.119
34697,67,779,343,69.27,1.118
34698,58,715,258,73.81,1.118
34699,47,608,166,78.73,1.105
34700,31,440,77,83.97,1.093
34701,0,0,0,89.46,1.084
34702,0,0,0,95.18,1.075
34703,0,0,0,101.05,1.071
34704,0,0,0,107.07,1.067
34705,0,0,0,113.2,1.065
34706,0,0,0,119.42,1.065
34707,0,0,0,125.71,1.064
34708,0,0,0,132.05,1.063
34709,0,0,0,138.41,1.062
34710,0,0,0,144.77,1.062
34711,0,0,0,151.1,1.06
34712,0,0,0,157.32,1.0590000000000002
34713,0,0,0,163.27,1.06
34714,0,0,0,168.48,1.061
34715,0,0,0,171.46,1.065
34716,0,0,0,169.94,1.071
34717,0,0,0,165.25,1.0759999999999998
34718,0,0,0,159.48,1.081
34719,0,0,0,153.33,1.085
34720,0,0,0,147.03,1.09
34721,0,0,0,140.68,1.09
34722,0,0,0,134.31,1.09
34723,0,0,0,127.96,1.09
34724,0,0,0,121.65,1.091
34725,0,0,0,115.41,1.092
34726,0,0,0,109.24,1.094
34727,0,0,0,103.18,1.098
34728,0,0,0,97.25,1.102
34729,0,0,0,91.47,1.113
34730,25,305,47,85.89,1.126
34731,45,522,131,80.55,1.146
34732,62,636,221,75.51,1.166
34733,72,722,309,70.82,1.19
34734,83,766,388,66.58,1.214
34735,89,807,457,62.86,1.247
34736,99,819,512,59.77,1.281
34737,102,837,553,57.41,1.33
34738,108,837,578,55.88,1.38
34739,109,839,588,55.24,1.463
34740,103,848,583,55.53,1.547
34741,101,835,560,56.74,1.679
34742,96,821,522,58.79,1.812
34743,92,792,469,61.62,1.935
34744,85,758,404,65.12,2.0580000000000003
34745,77,703,328,69.18,2.131
34746,66,638,245,73.71,2.206
34747,53,525,157,78.63,2.211
34748,35,337,71,83.86,2.218
34749,0,0,0,89.36,2.202
34750,0,0,0,95.07,2.187
34751,0,0,0,100.94,2.168
34752,0,0,0,106.96,2.15
34753,0,0,0,113.09,2.109
34754,0,0,0,119.31,2.069
34755,0,0,0,125.59,1.995
34756,0,0,0,131.93,1.921
34757,0,0,0,138.29,1.802
34758,0,0,0,144.66,1.6840000000000002
34759,0,0,0,150.98,1.537
34760,0,0,0,157.2,1.391
34761,0,0,0,163.16,1.265
34762,0,0,0,168.39,1.139
34763,0,0,0,171.41,1.041
34764,0,0,0,169.97,0.943
34765,0,0,0,165.33,0.867
34766,0,0,0,159.57,0.7909999999999999
34767,0,0,0,153.42,0.7440000000000001
34768,0,0,0,147.13,0.698
34769,0,0,0,140.77,0.6829999999999999
34770,0,0,0,134.4,0.669
34771,0,0,0,128.05,0.664
34772,0,0,0,121.74,0.66
34773,0,0,0,115.5,0.653
34774,0,0,0,109.33,0.647
34775,0,0,0,103.26,0.64
34776,0,0,0,97.33,0.633
34777,0,0,0,91.55,0.628
34778,29,214,44,85.96,0.624
34779,57,431,128,80.62,0.62
34780,77,572,219,75.57,0.616
34781,91,665,309,70.87,0.613
34782,105,717,389,66.62,0.611
34783,113,763,461,62.89,0.609
34784,121,788,518,59.78,0.608
34785,126,810,562,57.41,0.609
34786,127,826,591,55.87,0.61
34787,128,831,602,55.21,0.61
34788,131,820,596,55.49,0.611
34789,129,811,574,56.68,0.609
34790,125,792,537,58.72,0.607
34791,120,764,484,61.54,0.605
34792,109,734,419,65.03,0.603
34793,100,677,341,69.08,0.599
34794,85,602,255,73.61,0.595
34795,68,484,164,78.52,0.589
34796,41,325,77,83.75,0.583
34797,0,0,0,89.24,0.5760000000000001
34798,0,0,0,94.95,0.569
34799,0,0,0,100.83,0.561
34800,0,0,0,106.84,0.5529999999999999
34801,0,0,0,112.97,0.5489999999999999
34802,0,0,0,119.19,0.546
34803,0,0,0,125.48,0.546
34804,0,0,0,131.81,0.546
34805,0,0,0,138.17,0.546
34806,0,0,0,144.54,0.546
34807,0,0,0,150.86,0.546
34808,0,0,0,157.09,0.546
34809,0,0,0,163.04,0.545
34810,0,0,0,168.29,0.544
34811,0,0,0,171.36,0.54
34812,0,0,0,170.0,0.537
34813,0,0,0,165.39,0.525
34814,0,0,0,159.65,0.514
34815,0,0,0,153.51,0.494
34816,0,0,0,147.21,0.474
34817,0,0,0,140.86,0.451
34818,0,0,0,134.49,0.43
34819,0,0,0,128.14,0.411
34820,0,0,0,121.83,0.392
34821,0,0,0,115.58,0.383
34822,0,0,0,109.41,0.374
34823,0,0,0,103.34,0.371
34824,0,0,0,97.4,0.369
34825,0,0,0,91.62,0.363
34826,24,386,51,86.03,0.358
34827,42,611,142,80.68,0.351
34828,53,747,239,75.62,0.345
34829,62,827,332,70.92,0.341
34830,66,889,418,66.65,0.339
34831,70,925,492,62.91,0.34
34832,72,955,553,59.79,0.341
34833,74,972,598,57.41,0.343
34834,74,984,627,55.84,0.346
34835,75,988,639,55.18,0.346
34836,72,991,635,55.44,0.347
34837,71,984,613,56.61,0.349
34838,68,973,575,58.64,0.352
34839,66,952,521,61.45,0.357
34840,62,924,453,64.93,0.363
34841,57,880,373,68.98,0.368
34842,51,818,283,73.5,0.373
34843,42,720,187,78.41,0.378
34844,29,557,91,83.64,0.384
34845,0,0,0,89.13,0.393
34846,0,0,0,94.83,0.402
34847,0,0,0,100.71,0.408
34848,0,0,0,106.72,0.415
34849,0,0,0,112.85,0.417
34850,0,0,0,119.07,0.419
34851,0,0,0,125.36,0.417
34852,0,0,0,131.69,0.415
34853,0,0,0,138.05,0.411
34854,0,0,0,144.42,0.408
34855,0,0,0,150.74,0.403
34856,0,0,0,156.96,0.399
34857,0,0,0,162.92,0.394
34858,0,0,0,168.18,0.389
34859,0,0,0,171.3,0.383
34860,0,0,0,170.01,0.378
34861,0,0,0,165.45,0.371
34862,0,0,0,159.72,0.365
34863,0,0,0,153.59,0.357
34864,0,0,0,147.3,0.35
34865,0,0,0,140.95,0.343
34866,0,0,0,134.58,0.337
34867,0,0,0,128.23,0.334
34868,0,0,0,121.92,0.331
34869,0,0,0,115.66,0.332
34870,0,0,0,109.49,0.333
34871,0,0,0,103.42,0.332
34872,0,0,0,97.47,0.332
34873,0,0,0,91.69,0.326
34874,22,425,51,86.09,0.321
34875,39,648,143,80.73,0.313
34876,50,775,241,75.67,0.306
34877,57,853,335,70.95,0.303
34878,61,910,422,66.68,0.3
34879,65,945,495,62.92,0.306
34880,70,964,555,59.79,0.312
34881,72,978,599,57.39,0.33
34882,75,980,626,55.81,0.35
34883,76,982,637,55.13,0.375
34884,77,974,631,55.38,0.401
34885,76,964,608,56.54,0.428
34886,76,943,568,58.56,0.455
34887,73,919,513,61.36,0.484
34888,69,882,445,64.83,0.514
34889,64,834,365,68.87,0.544
34890,56,766,276,73.39,0.5760000000000001
34891,47,662,181,78.29,0.61
34892,32,496,88,83.52,0.644
34893,0,0,0,89.01,0.679
34894,0,0,0,94.71,0.715
34895,0,0,0,100.59,0.742
34896,0,0,0,106.6,0.77
34897,0,0,0,112.73,0.782
34898,0,0,0,118.95,0.795
34899,0,0,0,125.23,0.7959999999999999
34900,0,0,0,131.57,0.7979999999999999
34901,0,0,0,137.93,0.799
34902,0,0,0,144.29,0.8
34903,0,0,0,150.62,0.799
34904,0,0,0,156.84,0.7979999999999999
34905,0,0,0,162.8,0.792
34906,0,0,0,168.06,0.7859999999999999
34907,0,0,0,171.23,0.782
34908,0,0,0,170.02,0.779
34909,0,0,0,165.5,0.7879999999999999
34910,0,0,0,159.79,0.797
34911,0,0,0,153.67,0.816
34912,0,0,0,147.38,0.836
34913,0,0,0,141.03,0.8590000000000001
34914,0,0,0,134.66,0.882
34915,0,0,0,128.31,0.905
34916,0,0,0,122.0,0.929
34917,0,0,0,115.74,0.951
34918,0,0,0,109.56,0.973
34919,0,0,0,103.49,0.994
34920,0,0,0,97.54,1.014
34921,0,0,0,91.75,1.033
34922,25,270,43,86.15,1.051
34923,47,492,126,80.78,1.067
34924,63,621,217,75.71,1.083
34925,74,709,306,70.99,1.096
34926,79,784,389,66.7,1.11
34927,84,825,460,62.93,1.123
34928,89,852,518,59.79,1.136
34929,92,871,562,57.37,1.15
34930,94,881,590,55.78,1.164
34931,95,886,602,55.08,1.1740000000000002
34932,92,891,599,55.31,1.186
34933,90,883,579,56.45,1.1909999999999998
34934,89,865,542,58.47,1.197
34935,86,841,490,61.25,1.196
34936,80,807,425,64.72,1.196
34937,74,758,349,68.75,1.193
34938,65,690,263,73.27,1.1909999999999998
34939,53,584,172,78.17,1.19
34940,35,415,83,83.4,1.189
34941,10,124,13,88.88,1.188
34942,0,0,0,94.59,1.187
34943,0,0,0,100.46,1.181
34944,0,0,0,106.47,1.175
34945,0,0,0,112.6,1.162
34946,0,0,0,118.82,1.149
34947,0,0,0,125.11,1.133
34948,0,0,0,131.44,1.117
34949,0,0,0,137.8,1.093
34950,0,0,0,144.17,1.07
34951,0,0,0,150.49,1.042
34952,0,0,0,156.72,1.014
34953,0,0,0,162.68,0.994
34954,0,0,0,167.95,0.974
34955,0,0,0,171.15,0.966
34956,0,0,0,170.02,0.959
34957,0,0,0,165.55,0.955
34958,0,0,0,159.86,0.952
34959,0,0,0,153.74,0.951
34960,0,0,0,147.46,0.95
34961,0,0,0,141.11,0.965
34962,0,0,0,134.74,0.98
34963,0,0,0,128.39,1.014
34964,0,0,0,122.07,1.0490000000000002
34965,0,0,0,115.81,1.073
34966,0,0,0,109.63,1.098
34967,0,0,0,103.56,1.099
34968,0,0,0,97.6,1.101
34969,0,0,0,91.8,1.107
34970,27,139,36,86.2,1.113
34971,62,330,114,80.82,1.132
34972,81,503,205,75.74,1.151
34973,97,596,291,71.01,1.205
34974,92,726,379,66.71,1.26
34975,99,769,449,62.93,1.317
34976,109,785,504,59.77,1.375
34977,112,806,547,57.34,1.415
34978,117,812,574,55.73,1.455
34979,118,816,586,55.02,1.51
34980,118,810,580,55.23,1.565
34981,116,799,559,56.37,1.632
34982,117,770,521,58.37,1.699
34983,112,741,469,61.15,1.766
34984,107,694,404,64.6,1.833
34985,97,638,329,68.63,1.888
34986,84,561,246,73.14,1.944
34987,66,450,160,78.05,1.978
34988,42,288,76,83.27,2.012
34989,10,58,11,88.75,2.021
34990,0,0,0,94.46,2.029
34991,0,0,0,100.33,2.029
34992,0,0,0,106.35,2.032
34993,0,0,0,112.47,2.041
34994,0,0,0,118.69,2.053
34995,0,0,0,124.98,2.066
34996,0,0,0,131.31,2.079
34997,0,0,0,137.68,2.084
34998,0,0,0,144.04,2.089
34999,0,0,0,150.37,2.07
35000,0,0,0,156.59,2.051
35001,0,0,0,162.55,2.011
35002,0,0,0,167.82,1.971
35003,0,0,0,171.06,1.944
35004,0,0,0,170.01,1.917
35005,0,0,0,165.59,1.911
35006,0,0,0,159.92,1.906
35007,0,0,0,153.81,1.908
35008,0,0,0,147.53,1.91
35009,0,0,0,141.18,1.909
35010,0,0,0,134.82,1.909
35011,0,0,0,128.46,1.893
35012,0,0,0,122.14,1.877
35013,0,0,0,115.88,1.849
35014,0,0,0,109.7,1.822
35015,0,0,0,103.62,1.809
35016,0,0,0,97.66,1.796
35017,0,0,0,91.86,1.7990000000000002
35018,27,138,36,86.24,1.802
35019,59,340,113,80.86,1.812
35020,77,510,202,75.77,1.822
35021,91,604,288,71.03,1.853
35022,78,760,379,66.72,1.884
35023,84,800,448,62.92,1.928
35024,91,821,504,59.75,1.972
35025,94,840,547,57.31,2.016
35026,100,837,573,55.68,2.06
35027,101,842,585,54.95,2.094
35028,106,827,579,55.15,2.128
35029,104,818,559,56.27,2.139
35030,104,795,523,58.26,2.151
35031,100,770,473,61.03,2.157
35032,94,733,410,64.48,2.1630000000000003
35033,86,681,336,68.51,2.186
35034,77,600,252,73.02,2.209
35035,62,491,165,77.92,2.254
35036,41,326,80,83.14,2.299
35037,11,80,13,88.62,2.36
35038,0,0,0,94.33,2.421
35039,0,0,0,100.2,2.421
35040,0,0,0,106.21,2.488
35041,0,0,0,112.34,2.527
35042,0,0,0,118.56,2.567
35043,0,0,0,124.85,2.596
35044,0,0,0,131.18,2.6260000000000003
35045,0,0,0,137.55,2.649
35046,0,0,0,143.91,2.672
35047,0,0,0,150.24,2.681
35048,0,0,0,156.45,2.6910000000000003
35049,0,0,0,162.41,2.673
35050,0,0,0,167.69,2.655
35051,0,0,0,170.96,2.61
35052,0,0,0,170.0,2.567
35053,0,0,0,165.62,2.529
35054,0,0,0,159.97,2.492
35055,0,0,0,153.88,2.496
35056,0,0,0,147.6,2.501
35057,0,0,0,141.25,2.527
35058,0,0,0,134.89,2.5540000000000003
35059,0,0,0,128.53,2.567
35060,0,0,0,122.21,2.5810000000000004
35061,0,0,0,115.95,2.579
35062,0,0,0,109.76,2.5780000000000003
35063,0,0,0,103.67,2.6060000000000003
35064,0,0,0,97.71,2.634
35065,0,0,0,91.9,2.698
35066,25,182,37,86.28,2.762
35067,51,397,113,80.89,2.832
35068,67,540,200,75.79,2.903
35069,79,630,284,71.04,2.988
35070,87,695,362,66.72,3.074
35071,94,737,430,62.91,3.1830000000000003
35072,99,765,485,59.73,3.293
35073,103,784,527,57.26,3.432
35074,108,785,552,55.62,3.572
35075,109,789,563,54.87,3.699
35076,120,759,554,55.06,3.827
35077,118,749,535,56.17,3.888
35078,121,714,498,58.15,3.95
35079,116,687,450,60.91,3.973
35080,108,651,390,64.36,3.996
35081,99,597,319,68.38,3.952
35082,85,524,240,72.88,3.908
35083,69,414,156,77.78,3.844
35084,45,249,76,83.0,3.78
35085,12,37,13,88.49,3.737
35086,0,0,0,94.19,3.694
35087,0,0,0,100.06,3.639
35088,0,0,0,106.08,3.5860000000000003
35089,0,0,0,112.21,3.502
35090,0,0,0,118.43,3.418
35091,0,0,0,124.72,3.323
35092,0,0,0,131.05,3.228
35093,0,0,0,137.42,3.179
35094,0,0,0,143.78,3.13
35095,0,0,0,150.1,3.145
35096,0,0,0,156.32,3.16
35097,0,0,0,162.28,3.217
35098,0,0,0,167.56,3.274
35099,0,0,0,170.86,3.343
35100,0,0,0,169.97,3.412
35101,0,0,0,165.65,3.46
35102,0,0,0,160.02,3.509
35103,0,0,0,153.94,3.526
35104,0,0,0,147.67,3.544
35105,0,0,0,141.32,3.528
35106,0,0,0,134.95,3.512
35107,0,0,0,128.6,3.4730000000000003
35108,0,0,0,122.27,3.434
35109,0,0,0,116.01,3.387
35110,0,0,0,109.82,3.341
35111,0,0,0,103.73,3.299
35112,0,0,0,97.76,3.258
35113,0,0,0,91.94,3.219
35114,24,181,36,86.31,3.181
35115,49,398,112,80.92,3.13
35116,67,533,198,75.81,3.08
35117,79,627,283,71.05,3.027
35118,91,683,361,66.71,2.974
35119,98,729,430,62.89,2.934
35120,101,767,489,59.69,2.894
35121,105,789,533,57.21,2.85
35122,101,818,564,55.55,2.806
35123,102,826,579,54.79,2.687
35124,91,855,582,54.96,2.568
35125,90,853,567,56.06,2.327
35126,84,856,537,58.03,2.086
35127,81,842,492,60.78,1.793
35128,73,833,435,64.22,1.5
35129,67,795,362,68.24,1.296
35130,57,753,281,72.74,1.092
35131,48,661,190,77.64,0.969
35132,33,528,99,82.86,0.846
35133,13,235,20,88.35,0.76
35134,0,0,0,94.05,0.675
35135,0,0,0,99.93,0.613
35136,0,0,0,105.94,0.552
35137,0,0,0,112.07,0.511
35138,0,0,0,118.29,0.47
35139,0,0,0,124.58,0.445
35140,0,0,0,130.92,0.421
35141,0,0,0,137.28,0.409
35142,0,0,0,143.64,0.397
35143,0,0,0,149.97,0.392
35144,0,0,0,156.18,0.388
35145,0,0,0,162.14,0.385
35146,0,0,0,167.42,0.382
35147,0,0,0,170.75,0.381
35148,0,0,0,169.93,0.38
35149,0,0,0,165.67,0.38
35150,0,0,0,160.07,0.381
35151,0,0,0,153.99,0.383
35152,0,0,0,147.73,0.385
35153,0,0,0,141.38,0.387
35154,0,0,0,135.02,0.389
35155,0,0,0,128.66,0.393
35156,0,0,0,122.33,0.397
35157,0,0,0,116.06,0.403
35158,0,0,0,109.87,0.409
35159,0,0,0,103.78,0.417
35160,0,0,0,97.8,0.426
35161,0,0,0,91.98,0.439
35162,21,421,48,86.34,0.453
35163,37,645,138,80.94,0.475
35164,47,767,235,75.82,0.498
35165,54,843,328,71.05,0.527
35166,60,891,412,66.7,0.557
35167,63,926,486,62.87,0.575
35168,67,948,546,59.65,0.594
35169,69,964,592,57.15,0.603
35170,71,972,622,55.48,0.613
35171,72,976,636,54.7,0.628
35172,71,975,632,54.86,0.643
35173,70,967,612,55.94,0.665
35174,69,953,575,57.9,0.687
35175,66,931,523,60.65,0.7120000000000001
35176,64,899,457,64.08,0.738
35177,59,856,379,68.1,0.7609999999999999
35178,54,791,290,72.6,0.784
35179,45,697,196,77.5,0.8029999999999999
35180,33,540,102,82.72,0.823
35181,13,254,21,88.21,0.836
35182,0,0,0,93.91,0.85
35183,0,0,0,99.79,0.852
35184,0,0,0,105.8,0.855
35185,0,0,0,111.94,0.8420000000000001
35186,0,0,0,118.16,0.83
35187,0,0,0,124.45,0.809
35188,0,0,0,130.78,0.789
35189,0,0,0,137.15,0.775
35190,0,0,0,143.51,0.762
35191,0,0,0,149.83,0.762
35192,0,0,0,156.04,0.762
35193,0,0,0,162.0,0.79
35194,0,0,0,167.27,0.818
35195,0,0,0,170.63,0.8740000000000001
35196,0,0,0,169.89,0.93
35197,0,0,0,165.68,1.002
35198,0,0,0,160.11,1.0759999999999998
35199,0,0,0,154.04,1.117
35200,0,0,0,147.78,1.16
35201,0,0,0,141.44,1.169
35202,0,0,0,135.07,1.178
35203,0,0,0,128.71,1.186
35204,0,0,0,122.39,1.196
35205,0,0,0,116.12,1.225
35206,0,0,0,109.92,1.254
35207,0,0,0,103.82,1.286
35208,0,0,0,97.84,1.318
35209,0,0,0,92.01,1.372
35210,24,242,40,86.37,1.426
35211,47,472,122,80.96,1.48
35212,62,612,212,75.83,1.536
35213,73,702,301,71.04,1.554
35214,79,771,384,66.68,1.5719999999999998
35215,84,814,456,62.83,1.557
35216,85,854,517,59.6,1.5419999999999998
35217,88,874,563,57.09,1.506
35218,84,901,596,55.4,1.47
35219,85,908,611,54.6,1.426
35220,79,921,611,54.75,1.382
35221,78,916,593,55.82,1.3430000000000002
35222,77,903,559,57.77,1.306
35223,74,883,509,60.51,1.2819999999999998
35224,75,837,443,63.94,1.258
35225,70,792,367,67.96,1.236
35226,64,716,280,72.45,1.215
35227,54,617,189,77.35,1.192
35228,38,459,97,82.57,1.17
35229,15,182,21,88.06,1.154
35230,0,0,0,93.77,1.138
35231,0,0,0,99.64,1.134
35232,0,0,0,105.66,1.131
35233,0,0,0,111.8,1.145
35234,0,0,0,118.02,1.159
35235,0,0,0,124.31,1.195
35236,0,0,0,130.65,1.231
35237,0,0,0,137.01,1.287
35238,0,0,0,143.37,1.3430000000000002
35239,0,0,0,149.69,1.402
35240,0,0,0,155.9,1.461
35241,0,0,0,161.85,1.509
35242,0,0,0,167.12,1.557
35243,0,0,0,170.5,1.619
35244,0,0,0,169.83,1.681
35245,0,0,0,165.69,1.75
35246,0,0,0,160.14,1.819
35247,0,0,0,154.09,1.83
35248,0,0,0,147.84,1.841
35249,0,0,0,141.5,1.828
35250,0,0,0,135.13,1.816
35251,0,0,0,128.77,1.814
35252,0,0,0,122.44,1.812
35253,0,0,0,116.16,1.814
35254,0,0,0,109.96,1.816
35255,0,0,0,103.86,1.898
35256,0,0,0,97.87,1.981
35257,0,0,0,92.04,2.121
35258,25,150,35,86.38,2.262
35259,55,358,111,80.96,2.378
35260,76,493,197,75.82,2.494
35261,90,587,282,71.03,2.563
35262,101,654,360,66.65,2.632
35263,109,701,430,62.79,2.682
35264,119,722,485,59.54,2.733
35265,124,744,529,57.01,2.778
35266,126,759,558,55.31,2.824
35267,127,765,571,54.5,2.8480000000000003
35268,134,746,566,54.63,2.872
35269,132,739,549,55.69,2.7960000000000003
35270,117,754,521,57.63,2.72
35271,113,732,475,60.37,2.565
35272,95,737,421,63.79,2.41
35273,87,690,348,67.8,2.306
35274,77,623,267,72.3,2.2030000000000003
35275,64,521,179,77.2,2.176
35276,45,357,92,82.42,2.15
35277,16,114,20,87.91,2.164
35278,0,0,0,93.62,2.1790000000000003
35279,0,0,0,99.5,2.186
35280,0,0,0,105.52,2.193
35281,0,0,0,111.65,2.171
35282,0,0,0,117.88,2.151
35283,0,0,0,124.17,2.048
35284,0,0,0,130.51,1.946
35285,0,0,0,136.87,1.807
35286,0,0,0,143.23,1.668
35287,0,0,0,149.55,1.551
35288,0,0,0,155.76,1.435
35289,0,0,0,161.7,1.364
35290,0,0,0,166.97,1.294
35291,0,0,0,170.36,1.253
35292,0,0,0,169.77,1.212
35293,0,0,0,165.68,1.161
35294,0,0,0,160.17,1.111
35295,0,0,0,154.13,1.071
35296,0,0,0,147.88,1.031
35297,0,0,0,141.54,1.008
35298,0,0,0,135.18,0.985
35299,0,0,0,128.82,0.978
35300,0,0,0,122.48,0.971
35301,0,0,0,116.21,0.973
35302,0,0,0,110.0,0.976
35303,0,0,0,103.89,0.976
35304,0,0,0,97.9,0.977
35305,0,0,0,92.06,0.976
35306,27,124,35,86.4,0.975
35307,62,327,114,80.97,0.974
35308,84,492,205,75.82,0.974
35309,101,591,294,71.01,0.982
35310,101,709,382,66.62,0.991
35311,109,755,455,62.74,1.012
35312,104,819,520,59.48,1.034
35313,108,840,566,56.94,1.063
35314,102,871,600,55.21,1.093
35315,103,876,613,54.39,1.124
35316,97,888,613,54.5,1.156
35317,96,880,594,55.55,1.1740000000000002
35318,93,867,559,57.48,1.193
35319,89,844,509,60.21,1.199
35320,83,816,446,63.64,1.206
35321,77,770,370,67.65,1.199
35322,67,714,285,72.15,1.193
35323,55,616,194,77.05,1.17
35324,39,478,103,82.27,1.148
35325,16,211,24,87.76,1.111
35326,0,0,0,93.47,1.075
35327,0,0,0,99.35,1.037
35328,0,0,0,105.37,0.999
35329,0,0,0,111.51,0.958
35330,0,0,0,117.73,0.917
35331,0,0,0,124.03,0.883
35332,0,0,0,130.37,0.8490000000000001
